ID,First Name,Last Name,Area Code,Location Code,Date,Time,Contact
1,William,Jones,10444,55,2020-08-10,19:00,"924, 636, 558, 573"
924,Marion,Roberson,10444,55,2020-08-10,19:00,"1, 636, 558, 573"
636,David,Mickey,10444,55,2020-08-10,19:00,"924, 1, 558, 573"
558,Martin,Dixon,10444,55,2020-08-10,19:00,"924, 636, 1, 573"
573,Sandra,Chalmers,10444,55,2020-08-10,19:00,"924, 636, 558, 1"
1,William,Jones,10751,20,2020-08-13,16:00,352
352,James,Lacasse,10751,20,2020-08-13,16:00,1
1,William,Jones,12996,71,2020-08-09,10:00,None
1,William,Jones,14155,17,2020-08-11,11:00,"112, 37"
112,Scotty,Nelson,14155,17,2020-08-11,11:00,"1, 37"
37,Charles,Perez,14155,17,2020-08-11,11:00,"112, 1"
1,William,Jones,13211,56,2020-08-13,8:00,"96, 30, 961"
96,Garry,Obrien,13211,56,2020-08-13,8:00,"1, 30, 11"
30,Arturo,Lemen,13211,56,2020-08-13,8:00,"96, 1, 961"
961,John,Perry,13211,56,2020-08-13,8:00,"96, 30, 1"
1,William,Jones,13350,39,2020-08-14,15:00,None
2,Ronald,Thomas,10952,84,2020-08-09,7:30,None
2,Ronald,Thomas,12782,50,2020-08-14,11:00,None
2,Ronald,Thomas,14712,52,2020-08-10,8:00,"887, 891, 343"
887,Brett,Walters,14712,52,2020-08-10,8:00,"2, 891, 343"
891,Jorge,Rogers,14712,52,2020-08-10,8:00,"887, 2, 343"
343,Anna,Stanley,14712,52,2020-08-10,8:00,"887, 891, 2"
2,Ronald,Thomas,12707,50,2020-08-14,22:00,193
193,Billie,Beale,12707,50,2020-08-14,22:00,2
3,Lester,Nadeau,10542,70,2020-08-09,14:30,"302, 927, 700, 631"
302,Cheryl,Govea,10542,70,2020-08-09,14:30,"3, 927, 700, 631"
927,Willie,Brewer,10542,70,2020-08-09,14:30,"302, 3, 700, 631"
700,Robert,Chaney,10542,70,2020-08-09,14:30,"302, 927, 3, 631"
631,Derek,Pelletier,10542,70,2020-08-09,14:30,"302, 927, 700, 3"
3,Lester,Nadeau,14465,36,2020-08-11,22:00,None
3,Lester,Nadeau,11427,80,2020-08-11,15:30,"558, 919, 525, 308"
558,Martin,Dixon,11427,80,2020-08-11,15:30,"3, 919, 525, 308"
919,Phyllis,Richmon,11427,80,2020-08-11,15:30,"558, 3, 525, 308"
525,Lisa,Lemm,11427,80,2020-08-11,15:30,"558, 919, 3, 308"
308,Susan,Robinson,11427,80,2020-08-11,15:30,"558, 919, 525, 3"
3,Lester,Nadeau,10023,78,2020-08-10,15:30,"398, 446"
398,Wayne,Howard,10023,78,2020-08-10,15:30,"3, 446"
446,Sharon,Oleary,10023,78,2020-08-10,15:30,"398, 3"
3,Lester,Nadeau,13710,83,2020-08-15,17:00,None
3,Lester,Nadeau,11652,38,2020-08-09,9:00,"562, 628, 581"
562,Timothy,Hawley,11652,38,2020-08-09,9:00,"3, 628, 581"
628,Mahalia,Aiken,11652,38,2020-08-09,9:00,"562, 3, 581"
581,Sondra,Willis,11652,38,2020-08-09,9:00,"562, 628, 3"
3,Lester,Nadeau,13559,23,2020-08-12,9:30,"351, 651, 111, 257"
351,Michael,White,13559,23,2020-08-12,9:30,"3, 651, 111, 257"
651,Stella,Vallot,13559,23,2020-08-12,9:30,"351, 3, 111, 257"
111,Emma,Hampton,13559,23,2020-08-12,9:30,"351, 651, 3, 257"
257,Carlos,Button,13559,23,2020-08-12,9:30,"351, 651, 111, 3"
4,Maurine,Jackson,10190,30,2020-08-10,22:00,216
216,Nancy,Rosales,10190,30,2020-08-10,22:00,4
5,Jennifer,Stanesic,10395,43,2020-08-09,8:30,None
5,Jennifer,Stanesic,10313,74,2020-08-09,22:00,"471, 158"
471,Donna,Russ,10313,74,2020-08-09,22:00,"5, 158"
158,Stanley,Person,10313,74,2020-08-09,22:00,"471, 5"
5,Jennifer,Stanesic,12634,70,2020-08-10,12:30,None
6,James,Macki,11889,66,2020-08-09,13:00,None
6,James,Macki,10502,22,2020-08-11,12:30,"781, 520, 676, 419"
781,Phyllis,Hinson,10502,22,2020-08-11,12:30,"6, 520, 676, 419"
520,Charles,Robinson,10502,22,2020-08-11,12:30,"781, 6, 676, 419"
676,Gwen,Corliss,10502,22,2020-08-11,12:30,"781, 520, 6, 419"
419,Elizabeth,Franklin,10502,22,2020-08-11,12:30,"781, 520, 676, 6"
6,James,Macki,11896,7,2020-08-10,17:00,"162, 599"
162,Katherine,Peralta,11896,7,2020-08-10,17:00,"6, 599"
599,Frances,Martinez,11896,7,2020-08-10,17:00,"162, 6"
7,Jeannie,Tyson,12202,55,2020-08-11,20:00,None
7,Jeannie,Tyson,13420,44,2020-08-13,16:30,"799, 590"
799,Roy,Tarr,13420,44,2020-08-13,16:30,"7, 590"
590,Martha,Minnick,13420,44,2020-08-13,16:30,"799, 7"
7,Jeannie,Tyson,11864,22,2020-08-12,22:00,594
594,Joann,Mateo,11864,22,2020-08-12,22:00,7
7,Jeannie,Tyson,10718,34,2020-08-11,13:00,138
138,Jonathan,Pickard,10718,34,2020-08-11,13:00,7
7,Jeannie,Tyson,12335,77,2020-08-12,13:30,"520, 30, 704, 601"
520,Charles,Robinson,12335,77,2020-08-12,13:30,"7, 30, 704, 601"
30,Arturo,Lemen,12335,77,2020-08-12,13:30,"520, 7, 704, 601"
704,Sharon,Buchanan,12335,77,2020-08-12,13:30,"520, 30, 7, 601"
601,Victoria,Cummings,12335,77,2020-08-12,13:30,"520, 30, 704, 7"
8,Elizabeth,Bonnette,10287,54,2020-08-12,12:30,312
312,Carlos,Nelson,10287,54,2020-08-12,12:30,8
8,Elizabeth,Bonnette,11569,95,2020-08-12,19:00,"535, 925"
535,Donald,Bravo,11569,95,2020-08-12,19:00,"8, 925"
925,Ruth,Rykert,11569,95,2020-08-12,19:00,"535, 8"
8,Elizabeth,Bonnette,14967,53,2020-08-11,10:30,None
8,Elizabeth,Bonnette,14960,22,2020-08-11,13:30,None
8,Elizabeth,Bonnette,12595,90,2020-08-15,8:30,None
8,Elizabeth,Bonnette,13978,18,2020-08-15,20:30,None
9,Raleigh,Wilson,11691,39,2020-08-13,14:30,None
10,Lisa,Baker,14675,11,2020-08-15,22:30,None
10,Lisa,Baker,11143,97,2020-08-15,12:30,None
10,Lisa,Baker,12454,25,2020-08-11,14:00,"389, 241, 292"
389,George,Croteau,12454,25,2020-08-11,14:00,"10, 241, 292"
241,Benita,Garcia,12454,25,2020-08-11,14:00,"389, 10, 292"
292,Charles,Kim,12454,25,2020-08-11,14:00,"389, 241, 10"
11,Richard,Lints,13943,26,2020-08-11,19:00,"547, 77"
547,Paula,Brown,13943,26,2020-08-11,19:00,"11, 77"
77,David,Miyamoto,13943,26,2020-08-11,19:00,"547, 11"
12,Curt,Victorine,12182,67,2020-08-15,10:30,None
12,Curt,Victorine,13732,2,2020-08-10,20:00,None
12,Curt,Victorine,14239,49,2020-08-15,16:30,"300, 88"
300,Celeste,Lofton,14239,49,2020-08-15,16:30,"12, 88"
88,Norman,Ingram,14239,49,2020-08-15,16:30,"300, 12"
12,Curt,Victorine,10890,47,2020-08-14,12:30,"442, 567, 914"
442,Judith,Green,10890,47,2020-08-14,12:30,"12, 567, 914"
567,William,Keena,10890,47,2020-08-14,12:30,"442, 12, 914"
914,Charlene,Freeman,10890,47,2020-08-14,12:30,"442, 567, 12"
12,Curt,Victorine,11290,31,2020-08-14,22:00,"575, 500"
575,Mattie,Hogue,11290,31,2020-08-14,22:00,"12, 500"
500,Allen,Jackson,11290,31,2020-08-14,22:00,"575, 12"
12,Curt,Victorine,11782,33,2020-08-12,19:30,"821, 880"
821,Eugene,Kaeo,11782,33,2020-08-12,19:30,"12, 880"
880,Patrick,Mcintyre,11782,33,2020-08-12,19:30,"821, 12"
13,Kathleen,Mejia,14385,86,2020-08-11,12:00,"652, 197, 404"
652,Carol,Weimer,14385,86,2020-08-11,12:00,"13, 197, 404"
197,Shawn,Morgan,14385,86,2020-08-11,12:00,"652, 13, 404"
404,Elaine,Tamayo,14385,86,2020-08-11,12:00,"652, 197, 13"
13,Kathleen,Mejia,10454,98,2020-08-12,12:00,179
179,Frank,Guerrero,10454,98,2020-08-12,12:00,13
14,Esmeralda,Harris,14755,58,2020-08-10,16:30,None
14,Esmeralda,Harris,13860,59,2020-08-11,21:30,None
14,Esmeralda,Harris,12118,35,2020-08-13,14:30,None
15,Mabel,Watters,10281,7,2020-08-15,9:30,"51, 195, 319"
51,Ben,Santiago,10281,7,2020-08-15,9:30,"15, 195, 319"
195,Joe,Boone,10281,7,2020-08-15,9:30,"51, 15, 319"
319,Jose,Matheis,10281,7,2020-08-15,9:30,"51, 195, 15"
15,Mabel,Watters,11836,29,2020-08-12,20:30,59
59,Catherine,Lancaster,11836,29,2020-08-12,20:30,15
15,Mabel,Watters,10201,44,2020-08-11,22:30,"382, 553, 182"
382,Juliana,Arias,10201,44,2020-08-11,22:30,"15, 553, 182"
553,Shane,Gomez,10201,44,2020-08-11,22:30,"382, 15, 182"
182,Benny,Shoup,10201,44,2020-08-11,22:30,"382, 553, 15"
